Id;Nombre;AVI;COMA;VASC
0;y1;8862334;1864380;10726714
1;y2;2252283;1572524;3824807
2;y3;1830931;1570538;3401469
3;y4;2570865;1580082;4150947
4;y5;1617750;1665412;3283162
5;y6;3247200;4283207;7530407
6;y7;13625311;2167185;15792496
7;y8;13712077;2166425;15878502
8;y9;15481084;158997;15640081
9;y10;10239717;2194541;12434258
10;y11;9272300;2178300;11450600
11;y12;9048500;1450000;10498500
12;y13;5348500;900000;6248500
13;y14;7398500;1500000;8898500
14;y15;7348500;1400000;8748500
